taylor_album,taylor_file,most_similar_artist,most_similar_album,most_similar_pct,most_similar_file,least_similar_artist,least_similar_album,least_similar_pct,least_similar_file
1989,1989.jpg,Ariana Grande,Sweetener,90.9,Ariana Grande - Sweetener.jpg,Beyonce,RENAISSANCE,40.7,Beyonce - RENAISSANCE.jpg
1989 Taylors Version,1989 Taylors Version.jpg,Bruno Mars,24K Magic,95.7,Bruno Mars - 24K Magic.jpg,Beyonce,RENAISSANCE,50.1,Beyonce - RENAISSANCE.jpg
Fearless,Fearless.jpg,Ariana Grande,Sweetener,97.2,Ariana Grande - Sweetener.jpg,Beyonce,RENAISSANCE,40.4,Beyonce - RENAISSANCE.jpg
Fearless Taylors Version,Fearless Taylors Version.jpg,Chappell Roan,The Rise and Fall of a Midwest Princess,95.8,Chappell Roan - The Rise and Fall of a Midwest Princess.jpg,Beyonce,RENAISSANCE,58.7,Beyonce - RENAISSANCE.jpg
Lover,Lover.jpg,Ariana Grande,Sweetener,89.3,Ariana Grande - Sweetener.jpg,Beyonce,RENAISSANCE,35.9,Beyonce - RENAISSANCE.jpg
Midnights,Midnights.jpg,Lana Del Rey,Born to Die,95.4,Lana Del Rey - Born to Die.jpg,Beyonce,RENAISSANCE,53.8,Beyonce - RENAISSANCE.jpg
Red,Red.jpg,Drake,Views,95.1,Drake - Views.jpg,Ariana Grande,Sweetener,65.2,Ariana Grande - Sweetener.jpg
Red Taylors Version,Red Taylors Version.jpg,Chappell Roan,The Rise and Fall of a Midwest Princess,91.3,Chappell Roan - The Rise and Fall of a Midwest Princess.jpg,Ariana Grande,Sweetener,63.8,Ariana Grande - Sweetener.jpg
Speak Now,Speak Now.jpg,Bruno Mars,24K Magic,95.6,Bruno Mars - 24K Magic.jpg,Beyonce,RENAISSANCE,46.5,Beyonce - RENAISSANCE.jpg
Speak Now Taylors Version,Speak Now Taylors Version.jpg,The Weeknd,After Hours,95.4,The Weeknd - After Hours.jpg,Ariana Grande,Sweetener,54.4,Ariana Grande - Sweetener.jpg
THE TORTURED POETS DEPARTMENT,THE TORTURED POETS DEPARTMENT.jpg,Ariana Grande,Sweetener,85.6,Ariana Grande - Sweetener.jpg,Beyonce,RENAISSANCE,37.5,Beyonce - RENAISSANCE.jpg
Taylor Swift,Taylor Swift.jpg,Kendrick Lamar,DAMN,92.6,Kendrick Lamar - DAMN.jpg,Beyonce,RENAISSANCE,59.7,Beyonce - RENAISSANCE.jpg
evermore,evermore.jpg,Harry Styles,Fine Line,94.9,Harry Styles - Fine Line.jpg,Beyonce,RENAISSANCE,65,Beyonce - RENAISSANCE.jpg
folklore,folklore.jpg,Lana Del Rey,Born to Die,87.8,Lana Del Rey - Born to Die.jpg,Beyonce,RENAISSANCE,48,Beyonce - RENAISSANCE.jpg
reputation,reputation.jpg,Lana Del Rey,Born to Die,87.9,Lana Del Rey - Born to Die.jpg,Beyonce,RENAISSANCE,48.4,Beyonce - RENAISSANCE.jpg
